Mount Washington/Coldspring,5,11.6,16.1,16.3,13.7,1,4.1,5.2,3.3,3.3,82.2,8.1,7.8,0,16.9,44.9,22.6,15.6,31.5,10.1,65.6,4,0,0,3,66.2,28.2,0.6,0.1,0.2,0.3,0,94.3,102.6,94.5,60.7,81.8,55.7,medium/low,low/high
North Baltimore/Guilford/Homeland,14.8,14.7,20.7,15.9,14.1,4.2,5.8,3.6,4.6,3,66.1,7,9.9,14.6,24.5,48.6,14.4,12.5,55.1,16.8,49.5,5,0,0,5,65,25.8,0,0,0.1,0,0,64.7,62,64.1,59,46.7,51,low/low,low/high
Northwood,34.2,38.2,40.3,28.1,32.6,4.1,6.1,4.3,4.4,2.9,67.6,13.7,13.5,3.7,12.9,40.6,24.1,22.3,44.6,13,29.9,3,0,0,1,72.2,16.5,0.5,0.4,0.7,0.4,0.1,77.2,78.4,75.6,51.4,57.7,43.9,high/medium,medium/high
Oldtown/Middle East,65.4,52.4,47.7,43,38.5,11.8,8.8,8.1,10,3.6,33.1,5.6,35,23.3,27.8,18.9,23.1,30.3,84.9,71.6,9.8,30,0,0,3,49.3,46.6,2.4,17.7,0.7,3,0.6,77.3,75.2,72.1,35.2,48.2,30.1,low/high,high/low
Orangeville/East Highlandtown,109.1,110.4,100.6,76.8,106.3,11.4,12.9,9,6.6,5.4,49.5,22.1,19.6,7.2,13.7,35.6,29.2,21.4,50.8,26.1,12.3,7,0,0,1,64.4,20.3,0.1,0,0.1,0.1,0.1,53.2,56.5,56.6,34,31.5,28.9,high/medium,medium/low
Patterson Park North & East,392.3,191.9,187.4,126.8,162.5,10.7,7,5.2,6.9,4.5,60.6,12.9,14.8,8.3,15.3,38.2,29.4,17,79.8,26,5.2,56,0,0,43,68.7,23.6,0,0.1,0.1,0.2,0.1,71,65.7,73.2,37.2,43.5,31.7,high/medium,medium/low
Penn North/Reservoir Hill,84.2,91.8,127.5,94.6,68.3,4.4,5.1,7.8,7.8,2.3,49.3,17.5,24.7,4.3,18.1,36.7,23.9,21.4,74.2,43.3,42.9,35,0,0,58,60.2,33.4,0.2,0.1,0.1,0.3,0,80.3,83,81.2,42.9,58.8,36.5,high/medium,medium/medium
Pimlico/Arlington/Hilltop,79,73.5,70.8,45.9,38.5,4.1,8,9.2,7.4,5.7,51.9,8.6,30.4,7,11.6,39.3,24.6,24.4,65.9,44,22.9,12,0,0,4,66.9,20,0.7,0.5,0.3,0.5,0.1,77.2,78.9,75.8,41.1,53.7,34.6,medium/high,high/medium
Poppleton/The Terraces/Hollins Market,57,104.6,121.9,101.7,86.7,3.1,5.1,5.9,7.7,2.4,45.5,5.2,25.8,21.4,21.1,38.6,15.8,24.6,89.5,58.9,13.9,13,0,0,19,61.2,33.9,0.2,9,24.9,0.1,0.5,74.3,83.3,77.1,36.5,53.4,30.6,low/high,high/low
Sandtown-Winchester/Harlem Park,157.7,152.7,205.5,128.8,111.2,5.2,7.9,12.9,8.6,4.1,41.5,9.7,43.7,2.4,13.6,30.6,21.8,34.1,72.7,56.3,15.4,30,0,0,74,65.8,26.7,0.3,0.3,0.3,0.3,0.3,79.6,75.7,75.8,35,49,29.7,medium/high,high/low
South Baltimore,15.8,19.5,28.3,34.2,32,5.4,4.3,4.8,5.2,3,80,7.2,4.5,6.4,23.2,36.5,25.4,14.9,44.6,10.1,5.2,6,0,0,1,73.4,22,0,0,0,0,0,76.5,76.9,92.5,46.6,56.6,41.5,low/low,low/high
Southeastern,28,25.2,31,24.9,29.1,10.2,8,5.6,7,4.2,67.3,7.8,16.3,6.6,23.7,33.2,27.8,15.3,25.8,33.5,5,2,0,0,2,75.1,19.1,0,0.1,0.1,0.1,0,59.7,55.5,57.4,33.8,30.4,27.8,low/low,medium/low
Southern Park Heights,77.9,84.8,108.9,67.4,54.3,2.6,6.2,7.5,8.8,3,48.9,10,35.7,4.4,9.3,36.4,25.9,28.3,53.2,45.1,29.3,16,0,0,21,68.9,22.8,1.3,0.3,0.4,0.4,0.2,79.8,73.8,79.1,38,49.2,30.6,medium/high,high/low
Southwest Baltimore,253.6,195.5,217.9,152.8,134.1,5.4,8.9,9.3,12.1,3.3,44.1,10.8,34.3,7.6,14.6,36.3,24.4,24.7,77.4,52.8,14.1,102,0,0,101,61,31,0.4,0.4,0.2,0.1,0.1,70.1,70.5,66.9,33.4,41.2,28,medium/high,high/low
The Waverlies,84.2,80.7,87.3,49.7,59.7,8.1,11.2,9.9,7,3.1,55.1,8.1,25.9,3.9,14.9,39.5,24.1,21.5,76.6,39.6,19.5,9,0,0,10,62.6,27.9,0.2,0.3,0.3,0.3,0,87.2,87.7,88.7,46.9,60.2,39.1,medium/medium,high/medium
Upton/Druid Heights,52.1,58.9,76.8,70.7,73,2,4.4,6.2,6.4,1.3,43,9.2,38.8,7.8,13.8,33.5,24.9,27.7,83.7,67.5,14.5,106,0,0,80,55.4,36.3,0.2,0.8,3.1,6.3,1.2,79.1,81,73.2,35.2,52.9,30.5,medium/high,high/low
Washington Village/Pigtown,193.2,206.4,225.5,183.5,180.3,6.7,9.4,10.9,14.5,11.8,65.6,4.9,14.1,11.4,27.1,30.6,20.8,21.5,70.6,28.8,11.5,15,0,0,9,61.5,32,0.2,0.1,0.2,0.3,0,67.7,69,74.5,39.2,47.3,33,low/medium,medium/medium
Westport/Mount Winans/Lakeland,67.3,73.9,59.4,47.6,46.6,1.5,6,4.8,5.8,2.2,54.8,20.1,21.6,0.9,14.7,39.9,21.5,23.9,45.5,28.9,22.1,6,0,0,1,63.3,32.9,9.4,2.6,0.3,0.3,0,62.3,62.2,64.5,38.3,39.6,30.1,high/medium,medium/low
